title,company,address,experience,url,query,page,vacancy_id
Системный / Бизнес аналитик,Altenar,Екатеринбург,Опыт 1-3 года,https://hh.ru/vacancy/135206584?query=Data+Analyst,Data Analyst,2,135206584
Маркетолог,ООО Александровский,"Кемерово, р-н Центральный",Опыт более 6 лет,https://hh.ru/vacancy/136203865?query=Data+Analyst,Data Analyst,2,136203865
UX/UI-дизайнер,Absolut POS,Москва,Опыт 1-3 года,https://hh.ru/vacancy/135537515?query=Data+Analyst,Data Analyst,3,135537515
Data Analyst (Middle),Polonium Arts,Москва,Опыт 1-3 года,https://hh.ru/vacancy/136034338?query=Data+Analyst,Data Analyst,3,136034338
Product Manager / Product Lead,Airvoice,"Белград, Улица Косте Абрашевића, 13",Опыт 3-6 лет,https://hh.ru/vacancy/136341162?query=Data+Analyst,Data Analyst,3,136341162
Data Engineer,Koronatech,Санкт-Петербург,Опыт 3-6 лет,https://hh.ru/vacancy/135392614?query=Data+Analyst,Data Analyst,3,135392614
Заместитель директора Центра по развитию цифровых решений и аналитических систем,ФГАОУ ВО Первый МГМУ им. И.М.Сеченова Минздрава России (Сеченовский Университет),Москва,Опыт более 6 лет,https://hh.ru/vacancy/136252925?query=Data+Analyst,Data Analyst,3,136252925
Менеджер финансового отдела по автоматизации бизнес-прооцессов,Наймиум,"Москва, р-н Беговой",Опыт 3-6 лет,https://hh.ru/vacancy/135653465?query=Data+Analyst,Data Analyst,3,135653465
Системный аналитик (outstaff),ООО Триада,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/135374424?query=Data+Analyst,Data Analyst,3,135374424
Аналитик данных в технический департамент,VK,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136263866?query=Data+Analyst,Data Analyst,3,136263866
Руководитель проектов (международный проект в банковском секторе),USETECH,Маскат,Опыт более 6 лет,https://hh.ru/vacancy/136169462?query=Data+Analyst,Data Analyst,3,136169462
Research Engineer,Точка Банк,"Москва, р-н Тверской",Опыт 3-6 лет,https://hh.ru/vacancy/136142033?query=Data+Analyst,Data Analyst,3,136142033
AI Engineer,АО Цифровой семейный офис,Москва,Опыт 1-3 года,https://hh.ru/vacancy/136031525?query=Data+Analyst,Data Analyst,3,136031525
Бизнес аналитик (Математические модели),ООО АФЛТ-Системс,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136248879?query=Data+Analyst,Data Analyst,3,136248879
Middle backend developer / Python специалист,Brandquad,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/135744558?query=Data+Analyst,Data Analyst,3,135744558
Data analyst,ООО Центр Новых Финансовых Сервисов,"Москва, р-н Дорогомилово",Опыт 1-3 года,https://hh.ru/vacancy/135540304?query=Data+Analyst,Data Analyst,3,135540304
Business Analyst/Systems Analyst,ТРТ,Баку,Опыт более 6 лет,https://hh.ru/vacancy/136210954?query=Data+Analyst,Data Analyst,3,136210954
Проджект-менеджер,ТОО Arbuz Group (Арбуз Груп),Алматы,Опыт 1-3 года,https://hh.ru/vacancy/135964906?query=Data+Analyst,Data Analyst,3,135964906
Data Analyst DWH (DataVault/Системный аналитик качества данных/Банк),Neoflex,Москва,Опыт 1-3 года,https://hh.ru/vacancy/136319166?query=Data+Analyst,Data Analyst,3,136319166
Аналитик данных,Coleman Group,Москва,Опыт 1-3 года,https://hh.ru/vacancy/135997211?query=Data+Analyst,Data Analyst,3,135997211
Product manager,Т-Банк. ИТ. Управление продуктами и проектами,Нижний Новгород,Опыт 3-6 лет,https://hh.ru/vacancy/136330793?query=Data+Analyst,Data Analyst,3,136330793
Ведущий аналитик данных,ГК Дамате,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136214868?query=Data+Analyst,Data Analyst,3,136214868
"Python Developer AI team (в офис, г. Йошкар-Ола)",TravelLine,"Йошкар-Ола, Комсомольская улица, 112",Опыт 3-6 лет,https://hh.ru/vacancy/135712719?query=Data+Analyst,Data Analyst,4,135712719
"BI-разработчик / Data Analyst Загородный отель, Московская область",Рябиновый берег,городской округ Мытищи,Опыт 3-6 лет,https://hh.ru/vacancy/135807248?query=Data+Analyst,Data Analyst,4,135807248
Data Engineer,ООО Вебпро,"Москва, р-н Пресненский",Опыт 3-6 лет,https://hh.ru/vacancy/135869863?query=Data+Analyst,Data Analyst,4,135869863
Data Analyst,АО VIETJET QAZAQSTAN,Астана,Опыт 1-3 года,https://hh.ru/vacancy/135044334?query=Data+Analyst,Data Analyst,4,135044334
Account Manager / Менеджер клиентского сервиса,ООО Сидорин Лаб,Москва,Опыт 1-3 года,https://hh.ru/vacancy/136012286?query=Data+Analyst,Data Analyst,4,136012286
Бизнес-аналитик BI,Т-Банк. ИТ. DWH,Казань,Опыт 3-6 лет,https://hh.ru/vacancy/136343365?query=Data+Analyst,Data Analyst,4,136343365
Бухгалтер (работа с первичной документацией),АО РИР Энерго,Москва,Опыт 1-3 года,https://hh.ru/vacancy/136085746?query=Data+Analyst,Data Analyst,4,136085746
CRM-маркетолог / CRM Marketing Engineer,Сеть клиник Подружки,Москва,Опыт 1-3 года,https://hh.ru/vacancy/136220272?query=Data+Analyst,Data Analyst,4,136220272
Аналитик данных,ПАО Банк Санкт-Петербург,Санкт-Петербург,Опыт 1-3 года,https://hh.ru/vacancy/131228507?query=Data+Analyst,Data Analyst,4,131228507
Начальник управления по аналитике и клиентскому опыту,Пятёрочка. Транспорт,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136308796?query=Data+Analyst,Data Analyst,4,136308796
AI Call Quality Analyst,ТРТ,Баку,Опыт 3-6 лет,https://hh.ru/vacancy/136201256?query=Data+Analyst,Data Analyst,4,136201256
Аналитик данных (BI аналитик),Navio,Москва,Опыт 1-3 года,https://hh.ru/vacancy/135613824?query=Data+Analyst,Data Analyst,4,135613824
Data Analyst / Аналитик данных,"Форум-групп, Холдинг",Екатеринбург,Опыт 1-3 года,https://hh.ru/vacancy/135220809?query=Data+Analyst,Data Analyst,4,135220809
"Аналитик данных ML/DS, Группа аналитики по рискам B2B, Ozon Bank",Ozon Банк,"Москва, р-н Красносельский",Опыт 1-3 года,https://hh.ru/vacancy/136228430?query=Data+Analyst,Data Analyst,4,136228430
Ведущий разработчик Java (бэкенд) гибрид Москва,ООО АйДи – Технологии управления,Москва,Опыт более 6 лет,https://hh.ru/vacancy/135758517?query=Data+Analyst,Data Analyst,4,135758517
Руководитель группы аналитиков (тимлид),ООО ОТР,"Москва, р-н Пресненский",Опыт более 6 лет,https://hh.ru/vacancy/136132788?query=Data+Analyst,Data Analyst,4,136132788
Relationship manager Market data,АО Казахстанская фондовая биржа,Алматы,Опыт 3-6 лет,https://hh.ru/vacancy/136289353?query=Data+Analyst,Data Analyst,4,136289353
Старший аналитик (data analyst / data scientist)в управление планирования и прогнозирования,"ООО Бристоль, сеть магазинов, Работа в IT-сфере",Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136289152?query=Data+Analyst,Data Analyst,4,136289152
Junior+/Middle Software Engineer (Python),ТРТ,Тбилиси,Опыт 3-6 лет,https://hh.ru/vacancy/135482491?query=Data+Analyst,Data Analyst,4,135482491
Аналитик по рискам и статистическому моделированию (Junior / Junior+),Copperside,Москва,Опыт 1-3 года,https://hh.ru/vacancy/135703290?query=Data+Analyst,Data Analyst,4,135703290
System Analyst,Aston,"Москва, р-н Сокольники",Опыт 3-6 лет,https://hh.ru/vacancy/136345598?query=Data+Analyst,Data Analyst,5,136345598
Руководитель по эффективности логистики,"Лента, федеральная розничная сеть, Работа в офисе",Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136270619?query=Data+Analyst,Data Analyst,5,136270619
Аналитик DWH,ООО Дата Дженерейшн,Москва,Опыт более 6 лет,https://hh.ru/vacancy/136214464?query=Data+Analyst,Data Analyst,5,136214464
Аналитик баз данных в отдел управления рисками,ООО Variant Retail Finance,"Ташкент, улица Айбека, 20А",Опыт 1-3 года,https://hh.ru/vacancy/136296424?query=Data+Analyst,Data Analyst,5,136296424
Cпециалист по планированию реализации нефтепродуктов,ООО Газпромнефть-Региональные продажи,Санкт-Петербург,Опыт 1-3 года,https://hh.ru/vacancy/136353330?query=Data+Analyst,Data Analyst,5,136353330
"Data Analyst (Middle), DWH",SkillStaff,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136366073?query=Data+Analyst,Data Analyst,5,136366073
Ведущий системный аналитик (IoT-решения),ООО Клауд Солюшенс,Москва,Опыт более 6 лет,https://hh.ru/vacancy/134842031?query=Data+Analyst,Data Analyst,5,134842031
Младший финансовый аналитик,ЮMoney,Москва,Опыт 1-3 года,https://hh.ru/vacancy/135467952?query=Data+Analyst,Data Analyst,5,135467952
Контент-менеджер Lamoda (Обувь / Одежда),"Francesco Donni, Сеть магазинов",Москва,Опыт 1-3 года,https://hh.ru/vacancy/135716117?query=Data+Analyst,Data Analyst,5,135716117
Junior Recruiter (Chat Interviews) | Младший рекрутер на чатах,Adviva,Баку,Опыт 1-3 года,https://hh.ru/vacancy/136073022?query=Data+Analyst,Data Analyst,5,136073022
Product Manager | Менеджер продукта,Альфа-Деньги,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136021096?query=Data+Analyst,Data Analyst,5,136021096
Аналитик,12 STOREEZ,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136096183?query=Data+Analyst,Data Analyst,5,136096183
Email-маркетолог,WeJET,Москва,Опыт 1-3 года,https://hh.ru/vacancy/136171461?query=Data+Analyst,Data Analyst,5,136171461
Продуктовый аналитик/Product Analyst,Aston,"Москва, р-н Тверской",Опыт 3-6 лет,https://hh.ru/vacancy/136354316?query=Data+Analyst,Data Analyst,5,136354316
"Руководитель e‑commerce‑направления (fashion, премиум‑сегмент) в единственном лице",Agent Provocateur,"Москва, р-н Тверской",Опыт 3-6 лет,https://hh.ru/vacancy/136036176?query=Data+Analyst,Data Analyst,5,136036176
Гейм-Дизайнер / Game Designer (Лид монетизации),Infinnity Solutions,"Челябинск, р-н Центральный",Опыт 1-3 года,https://hh.ru/vacancy/136322747?query=Data+Analyst,Data Analyst,5,136322747
Аналитик информационной безопасности (Data Security),Т-Банк. ИТ. Информационная безопасность,Санкт-Петербург,Опыт 1-3 года,https://hh.ru/vacancy/136171041?query=Data+Analyst,Data Analyst,5,136171041
Специалист по маркировке «Честный знак»,Панда Гифтс,Москва,Опыт 1-3 года,https://hh.ru/vacancy/136125312?query=Data+Analyst,Data Analyst,5,136125312
Middle/Senior Business Analyst (Healthcare / Insurance / Investment & Wealth Management),Научсофт,Минск,Опыт 3-6 лет,https://rabota.by/vacancy/136320402?query=Data+Analyst&hhtmFrom=vacancy_search_list,Data Analyst,5,136320402
CRM-маркетолог / Email-маркетолог,Markswebb,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136093110?query=Data+Analyst,Data Analyst,5,136093110
Ведущий интернет-маркетолог (Seo),ООО Газпромбанк Автолизинг,"Москва, р-н Мещанский",Опыт 1-3 года,https://hh.ru/vacancy/135894004?query=Data+Analyst,Data Analyst,6,135894004
Разработчик PostgreSQL/ BI Разработчик,Data World,Нижний Новгород,Опыт 1-3 года,https://hh.ru/vacancy/136296972?query=Data+Analyst,Data Analyst,6,136296972
Аналитик данных (MedTech),Правительство Москвы,Москва,Опыт 1-3 года,https://hh.ru/vacancy/136117982?query=Data+Analyst,Data Analyst,6,136117982
Аналитик данных,СИНЕРГИЯ,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136311691?query=Data+Analyst,Data Analyst,6,136311691
Аналитик DWH senior,ЛИАН,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136110567?query=Data+Analyst,Data Analyst,6,136110567
ИТ Директор,Аптечная сеть Ваша №1 х Таблетка.ру,Москва,Опыт более 6 лет,https://hh.ru/vacancy/133186561?query=Data+Analyst,Data Analyst,6,133186561
Руководитель направления ИИ-трансформации,ООО Юнион Гайд,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/135343165?query=Data+Analyst,Data Analyst,6,135343165
Главный специалист по аналитике и отчётности,ЗАО Альфа Телеком (MEGA),"Бишкек, улица А. Суюмбаева, 123",Опыт 3-6 лет,https://hh.ru/vacancy/136361744?query=Data+Analyst,Data Analyst,6,136361744
Data Scientist (junior),Сбер. Data Science,Нижний Новгород,Без опыта,https://hh.ru/vacancy/135364012?query=Data+Analyst,Data Analyst,6,135364012
Системный аналитик (Middle / Middle+ / Senior),CRT,Казань,Опыт 3-6 лет,https://hh.ru/vacancy/135605347?query=Data+Analyst,Data Analyst,6,135605347
"Data Analyst/Аналитик данных (PostgreSQL, Python)",Сбер. IT,Омск,Без опыта,https://hh.ru/vacancy/133020079?query=Data+Analyst,Data Analyst,6,133020079
Продуктовый менеджер,АО ТаймВэб,Санкт-Петербург,Опыт 1-3 года,https://hh.ru/vacancy/136035474?query=Data+Analyst,Data Analyst,6,136035474
"Product Manager (карточная эмиссия, Crypto & Fintech)",ООО Зенит-Брокер,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136227320?query=Data+Analyst,Data Analyst,6,136227320
Системный Аналитик 1С (сопровождение),SSP SOFT,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136356763?query=Data+Analyst,Data Analyst,6,136356763
Руководитель направления ИИ и автоматизации,Негосударственный Пенсионный Фонд Сбербанка,Москва,Опыт более 6 лет,https://hh.ru/vacancy/136243081?query=Data+Analyst,Data Analyst,6,136243081
Java-разработчик,Компания Ритейл Сервис,"Барнаул, р-н Октябрьский",Опыт 1-3 года,https://hh.ru/vacancy/135755270?query=Data+Analyst,Data Analyst,6,135755270
DWH Инженер (DevOps),АО БАНК ИНТЕЗА,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136185339?query=Data+Analyst,Data Analyst,6,136185339
Менеджер по рекламному продвижению на маркетплейсах,Integraaal,Москва,Опыт 1-3 года,https://hh.ru/vacancy/136316558?query=Data+Analyst,Data Analyst,6,136316558
Аналитик бизнес решений (BI Analyst),ТОО Нестле Фуд Казахстан,"Алматы, улица Тимирязева, 28В",Опыт 1-3 года,https://hh.ru/vacancy/135786386?query=Data+Analyst,Data Analyst,6,135786386
Ведущий продуктовый аналитик / Аналитик сквозной аналитики,ООО Веро Трейс,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/135919236?query=Data+Analyst,Data Analyst,6,135919236
Аналитик данных,"""МТС"", Технический блок",Москва,Опыт 1-3 года,https://hh.ru/vacancy/136018040?query=Data+Analyst,Data Analyst,7,136018040
Ведущий продуктовый аналитик / Lead Product Analyst,ООО АРСфин,"Москва, р-н Коньково",Опыт 3-6 лет,https://hh.ru/vacancy/136310418?query=Data+Analyst,Data Analyst,7,136310418
Senior Data scientist (розничные риски),Selecty,"Москва, р-н Тверской",Опыт более 6 лет,https://hh.ru/vacancy/136325606?query=Data+Analyst,Data Analyst,7,136325606
ML -аналитик,ПАО Совкомбанк. ИТ,Санкт-Петербург,Опыт 1-3 года,https://hh.ru/vacancy/134699230?query=Data+Analyst,Data Analyst,7,134699230
Team Lead BI и аналитики,ООО Qnits,Санкт-Петербург,Опыт 3-6 лет,https://hh.ru/vacancy/135307098?query=Data+Analyst,Data Analyst,7,135307098
Аналитик данных (middle),ООО Лоция,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136169700?query=Data+Analyst,Data Analyst,7,136169700
Data Analyst (Лаборатория нейронаук и поведения человека),Сбер. Data Science,Санкт-Петербург,Опыт 1-3 года,https://hh.ru/vacancy/135559058?query=Data+Analyst,Data Analyst,7,135559058
Data Analyst Middle,Sputnik8,Санкт-Петербург,Опыт 1-3 года,https://hh.ru/vacancy/135891466?query=Data+Analyst,Data Analyst,7,135891466
IT специалист по цифровым технологиям аудита,Сбер для экспертов,Ростов-на-Дону,Без опыта,https://hh.ru/vacancy/136097761?query=Data+Analyst,Data Analyst,7,136097761
Business Analyst,ООО Твистеллар,Минск,Опыт 1-3 года,https://rabota.by/vacancy/136142847?query=Data+Analyst&hhtmFrom=vacancy_search_list,Data Analyst,7,136142847
Бизнес-аналитик (E-commerce),SPLAT,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/135896101?query=Data+Analyst,Data Analyst,7,135896101
Safety Operations Analyst,ТОО inDrive,Алматы,Опыт 1-3 года,https://hh.ru/vacancy/136108843?query=Data+Analyst,Data Analyst,7,136108843
"Tech Lead / CTO — AI-стартап (динамическое ценообразование, международный рынок)",ИП Степанов Алексей Андреевич,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/135935227?query=Data+Analyst,Data Analyst,7,135935227
Младший категорийный менеджер,ООО ВсеИнструменты.ру,Москва,Опыт 1-3 года,https://hh.ru/vacancy/136062165?query=Data+Analyst,Data Analyst,7,136062165
Операционный менеджер отдела аналитики (автоматизация отчетности Excel / Power BI),Опт-Юнион,Химки,Опыт 1-3 года,https://hh.ru/vacancy/134784012?query=Data+Analyst,Data Analyst,7,134784012
Эксперт по цифровым технологиям аудита,Сбер. Data Science,Самара,Без опыта,https://hh.ru/vacancy/135845686?query=Data+Analyst,Data Analyst,7,135845686
Data Engineer / Дата-инженер,Ситидрайв,Москва,Опыт 1-3 года,https://hh.ru/vacancy/135922444?query=Data+Analyst,Data Analyst,7,135922444
Ведущий продуктовый аналитик / Senior Product Analyst,ООО Майфин,Минск,Опыт 3-6 лет,https://rabota.by/vacancy/136345688?query=Data+Analyst&hhtmFrom=vacancy_search_list,Data Analyst,7,136345688
Директор по продукту (CPO)/Head of Product,ООО Консоль.Про,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/135588223?query=Data+Analyst,Data Analyst,7,135588223
