title,company,address,experience,url,query,page,vacancy_id,matched_queries
Data Engineer (senior),ООО Лоция,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136198734?query=Data+Engineer,Data Engineer,5,136198734,['Data Engineer']
"Middle Data Engineer [Coffers, МТС Веб Сервисы]","""МТС"", Работа в IT",Москва,Опыт 3-6 лет,https://hh.ru/vacancy/135545217?query=Data+Engineer,Data Engineer,5,135545217,['Data Engineer']
Entry level Devops Engineer,ТОО АтырауТехИнвест,Астана,Без опыта,https://hh.ru/vacancy/135498689?query=Data+Engineer,Data Engineer,5,135498689,['Data Engineer']
Junior GIS Analyst (Entry level),ТОО АтырауТехИнвест,"Атырау, улица Жолдаскали Досмухамбетова, 2",Без опыта,https://hh.ru/vacancy/135547778?query=Data+Engineer,Data Engineer,5,135547778,['Data Engineer']
Tech Lead/Backend Architect,Darktheme Studios,"город Окленд, Warfield Avenue",Опыт 3-6 лет,https://hh.ru/vacancy/136188357?query=Data+Engineer,Data Engineer,5,136188357,['Data Engineer']
ML Engineer в команду Disrupt,Сбер. IT,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136296929?query=Data+Engineer,Data Engineer,5,136296929,['Data Engineer']
Lead AI Engineer/AI Platform Engineer,ООО Битроботикс,"Москва, р-н Преображенское",Опыт 3-6 лет,https://hh.ru/vacancy/135983066?query=Data+Engineer,Data Engineer,5,135983066,['Data Engineer']
Backend Developer / Telecom Integration Engineer,Genesis Group AG,Тбилиси,Опыт 3-6 лет,https://hh.ru/vacancy/136006593?query=Data+Engineer,Data Engineer,5,136006593,['Data Engineer']
Data Engineer,Selecty,Ташкент,Опыт 3-6 лет,https://hh.ru/vacancy/136133856?query=Data+Engineer,Data Engineer,5,136133856,['Data Engineer']
Machine Learning Engineer/Data scientist,ООО Арелаг консалт,Минск,Опыт 1-3 года,https://rabota.by/vacancy/135694780?query=Data+Engineer&hhtmFrom=vacancy_search_list,Data Engineer,5,135694780,['Data Engineer']
Оператор ПК,METRO.Торговые центры,Москва,Без опыта,https://hh.ru/vacancy/135775547?query=Data+Engineer,Data Engineer,5,135775547,['Data Engineer']
Software QA Engineer/Intern (AI-Powered),a1qa (ООО ITRANSITION),Ташкент,Без опыта,https://hh.ru/vacancy/135923013?query=Data+Engineer,Data Engineer,5,135923013,['Data Engineer']
Аналитик данных | Data scientist,JACOBS DOUWE EGBERTS (JDE),Москва,Опыт 3-6 лет,https://hh.ru/vacancy/135984876?query=Data+Engineer,Data Engineer,5,135984876,['Data Engineer']
Программист-исследователь (1С + Machine Learning Engineer),ООО ПКО ТАЛИОН,"Красноярск, р-н Железнодорожный",Опыт 1-3 года,https://hh.ru/vacancy/135792522?query=Data+Engineer,Data Engineer,6,135792522,['Data Engineer']
Data Engineer (Аналитический центр транзакционного бизнеса),"АО Россельхозбанк, Головной офис",Москва,Опыт 3-6 лет,https://hh.ru/vacancy/135139426?query=Data+Engineer,Data Engineer,6,135139426,['Data Engineer']
Data Engineer real-time,PARI,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/135664072?query=Data+Engineer,Data Engineer,6,135664072,['Data Engineer']
Специалист по классическому ML / Data Science / Junior Machine Learning Engineer,Банк Русский Стандарт,Москва,Опыт 1-3 года,https://hh.ru/vacancy/131546356?query=Data+Engineer,Data Engineer,6,131546356,['Data Engineer']
Разработчик/Аналитик Hadoop,IT_One,Москва,Опыт 1-3 года,https://hh.ru/vacancy/136083166?query=Data+Engineer,Data Engineer,6,136083166,['Data Engineer']
Analytics engineer,MAREE,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/134635225?query=Data+Engineer,Data Engineer,6,134635225,['Data Engineer']
Senior Data Engineer,ООО ЭМ Рус,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/135183828?query=Data+Engineer,Data Engineer,6,135183828,['Data Engineer']
Middle/Senior Java Software Engineer,UZUM TECHNOLOGIES. Операции,Ташкент,Опыт 3-6 лет,https://hh.ru/vacancy/132226529?query=Data+Engineer,Data Engineer,6,132226529,['Data Engineer']
Data Engineer,Andersen,Ташкент,Опыт 3-6 лет,https://rabota.by/vacancy/136192663?query=Data+Engineer&hhtmFrom=vacancy_search_list,Data Engineer,6,136192663,['Data Engineer']
"Старший инженер данных, Ozon Банк",Ozon Банк,Москва,Опыт более 6 лет,https://hh.ru/vacancy/136073335?query=Data+Engineer,Data Engineer,6,136073335,['Data Engineer']
Data Collection Engineer (Image & Video),ООО Ридотто,Минск,Опыт 3-6 лет,https://rabota.by/vacancy/136188433?query=Data+Engineer&hhtmFrom=vacancy_search_list,Data Engineer,6,136188433,['Data Engineer']
Fullstack Dashboard Developer (React + API + SQL),Мегаполис (ООО Джин),"Челябинск, р-н Центральный",Опыт 1-3 года,https://hh.ru/vacancy/135900181?query=Data+Engineer,Data Engineer,6,135900181,['Data Engineer']
Head of Data,Drivee,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/134313002?query=Data+Engineer,Data Engineer,6,134313002,['Data Engineer']
Data Engineer,Andersen,Сербия,Опыт 3-6 лет,https://rabota.by/vacancy/136178327?query=Data+Engineer&hhtmFrom=vacancy_search_list,Data Engineer,6,136178327,['Data Engineer']
Data Architect / Data Analyst / ML Engineer,Благотворительный фонд содействия деятельности добровольческой бригады БАРС-Курск,"Курск, р-н Центральный",Опыт 1-3 года,https://hh.ru/vacancy/136364788?query=Data+Engineer,Data Engineer,6,136364788,"['Data Engineer', 'MLOps']"
